Lat,Lon,Canton,Name,Cases,Deaths
47.412396,8.1948321,AG,Aargau,52,0
47.3007262,9.3991527,AI,Appenzell Innerrhoden,2,0
47.3960076,9.3705839,AR,Appenzell Ausserrhoden,5,0
46.8739775,7.5631943,BE,Bern,131,1
47.4839723,7.7347783,BL,Basel Country,89,2
47.5579097,7.5927728,BS,Basel City,165,4
46.6789116,7.1027113,FR,Fribourg,38,0
46.2017559,6.1466014,GE,Geneva,280,1
46.9796562,9.108812,GL,Glarus,2,0
46.6960615,9.6027351,GR,Graubünden,64,0
47.3370866,7.2440935,JU,Jura,16,0
47.0505452,8.3054682,LU,Lucerne,26,0
46.9895828,6.9292641,NE,Neuchâtel,77,0
46.942756,8.4119773,NW,Nidwalden,8,0
46.8613857,8.2067825,OW,Obwalden,1,0
47.2033184,9.3507024,SG,St. Gallen,47,0
47.7151451,8.519796,SH,Schaffhausen,2,0
47.31874,7.6698284,SO,Solothurn,19,0
47.0571976,8.7222073,SZ,Schwyz,9,0
47.5859649,9.1428769,TG,Thurgau,23,0
46.3356506,8.753706,TI,Ticino,330,6
46.7864413,8.6420159,UR,Uri,2,0
46.6356963,6.5320717,VD,Vaud,695,3
46.2303063,7.6605757,VS,Valais,95,1
47.1486137,8.5539378,ZG,Zug,13,0
47.3723941,8.5423328,ZH,Zurich,294,1